Index,Title,Company,Date,Location,Job Category
0,HMO / Billing Officer,CarePoint Hospitals Limited,02-Mar-26,Lagos,Finance
1,Optician,CarePoint Hospitals Limited,02-Mar-26,Lagos,Medical
2,Flight Dispatcher,Air Peace,02-Mar-26,Lagos,Operations
3,Assistant Flight Dispatcher,ADXCredit Limited,02-Mar-26,Lagos,Operations
4,Client Service Executive,Amitouch Global Concepts Limited,02-Mar-26,Lagos,Management
5,Driver,Amitouch Global Concepts Limited,02-Mar-26,Lagos,Operations
6,Hotel Cook,Carlson Hotel,02-Mar-26,Lagos,Operations
7,Housekeeper,Carlson Hotel,02-Mar-26,Lagos,Operations
8,Pool Attendant,Carlson Hotel,02-Mar-26,Lagos,Customer Service
9,Maintenance Officer (Hotel),Carlson Hotel,02-Mar-26,Lagos,Management
10,Investment and Deposit Mobiliz,ion Officer,02-Mar-26,Lagos,Finance
11,E-commerce Social Media & Content Creator,Csi Grocery,02-Mar-26,Lagos,Operations
12,Project and Partnership Intern,Lead For Good Africa,02-Mar-26,Lagos,Operations
13,"Senior Technical Officer, Str",FHI 360,02-Mar-26,Lagos,Management
14,Paralegal Officer,OmniRetail Technology,02-Mar-26,Lagos,Operations
15,Account Manager- Abuja,Qatar Airways,02-Mar-26,Lagos,Management
16,Cold Chain Supervisor,Boulos Enterprises,02-Mar-26,Lagos,Management
17,Process Engineer,Zigma Limited,02-Mar-26,Lagos,Operations
18,Brand and Communic,NIVArb,02-Mar-26,Lagos,Operations
19,Admin / HR Assistant,The Milk Booster,02-Mar-26,Lagos,Customer Service
20,Sales & Partnerships Manager,Ivorypay,02-Mar-26,Lagos,Management
21,Executive Assistant,Helium Health,02-Mar-26,Lagos,Management
22,"Team Lead, Oper",ions Assurance,02-Mar-26,Lagos,Management
23,Front Desk Officer (Intern),Petrogap Oil and Gas Limited,02-Mar-26,Lagos,Operations
24,Account Officer,Buckler Ordnance Systems Limited,02-Mar-26,Lagos,Finance
25,Marketing Manager,OPPO,02-Mar-26,Lagos,Management
26,Branding Assistant,OPPO,02-Mar-26,Lagos,Operations
27,Service Center Warehouse Officer,OPPO,02-Mar-26,Lagos,Management
28,Phone Repair Engineer,OPPO,02-Mar-26,Lagos,Operations
29,Media Sales Expert,Vastovers Group,02-Mar-26,Lagos,Medical
30,Modern Trade Executive,The M & W Nuts company,02-Mar-26,Lagos,Management
31,Area Sales Manager,Husk Power Systems,02-Mar-26,Lagos,Management
32,Account Personnel,Tizeti Network Limited,02-Mar-26,Lagos,Finance
33,FTTH Project Site Engineer - Lagos,ZTE Devices,02-Mar-26,Lagos,Technology
34,Fiber Splicing Engineer,ZTE Devices,02-Mar-26,Lagos,Technology
35,Account Personnel,Tizeti Network Limited,02-Mar-26,Lagos,Finance
36,FTTH Project Site Engineer - Lagos,ZTE Devices,02-Mar-26,Lagos,Technology
37,Fiber Splicing Engineer,ZTE Devices,02-Mar-26,Lagos,Technology
38,Associ,Stanbic IBTC,02-Mar-26,Lagos,Management
39,Audit Officer,Westfield Consulting,02-Mar-26,Lagos,Finance
40,Associ,Reliance HMO,02-Mar-26,Lagos,Management
41,Account Officer,Lightingcrown Global Consulting Services Limited,02-Mar-26,Lagos,Finance
42,Internal Control / Auditor,Levitikal Group,02-Mar-26,Lagos,Finance
