,Title,Date,Location

19,HMO / Billing Officer at CarePoint Hospitals Limited,02 March-2026,Lagos
20,Optician at CarePoint Hospitals Limited,02 March-2026,Lagos
21,Flight Dispatcher at Air Peace,02 March-2026,Lagos
22,Assistant Flight Dispatcher at Air Peace,02 March-2026,Lagos
23,Client Service Executive at Amitouch Global Concepts Limited,02 March-2026,Lagos
24,Driver at Amitouch Global Concepts Limited,02 March-2026,Lagos
25,Hotel Cook at Carlson Hotel,02 March-2026,Lagos
26,Housekeeper at Carlson Hotel,02 March-2026,Lagos
27,Pool Attendant at Carlson Hotel,02 March-2026,Lagos
28,Maintenance Officer (Hotel) at Carlson Hotel,02 March-2026,Lagos
29,Investment and Deposit Mobilization Officer at ADX Credit Limited,02 March-2026,Lagos
30,E-commerce Social Media & Content Creator at CSi Grocery,02 March-2026,Lagos
31,Project and Partnership Intern at Lead For Good Africa,02 March-2026,Lagos
32,"Senior Technical Officer, Strategic Information at  FHI 360",02 March-2026,Lagos
33,Paralegal Officer at OmniRetail Technology,02 March-2026,Lagos
34,Account Manager- Abuja at Qatar Airways,02 March-2026,Lagos
35,Cold Chain Supervisor at Boulos Enterprises,02 March-2026,Lagos
36,Process Engineer at Zigma Limited,02 March-2026,Lagos
37,Brand and Communications Officer at The Nigerian Institute of Chartered Arbitrators (NICArb),02 March-2026,Lagos
38,Admin / HR Assistant at The Milk Booster,02 March-2026,Lagos
39,Sales & Partnerships Manager at Ivorypay,02 March-2026,Lagos
40,Executive Assistant at Helium Health at Helium Health,02 March-2026,Lagos
41,"Team Lead, Operations Assurance at Interswitch",02 March-2026,Lagos
42,Front Desk Officer (Intern) at Petrogap Oil and Gas Limited,02 March-2026,Lagos
43,Account Officer at Buckler Ordnance Systems Limited,02 March-2026,Lagos
44,Marketing Manager at OPPO,02 March-2026,Lagos
45,Branding Assistant at OPPO,02 March-2026,Lagos
46,Service Center Warehouse Officer at OPPO,02 March-2026,Lagos
47,Phone Repair Engineer at OPPO,02 March-2026,Lagos
48,Media Sales Expert at Vastovers Group,02 March-2026,Lagos
49,Modern Trade Executive at The M & W Nuts company,02 March-2026,Lagos
50,Area Sales Manager at Husk Power Systems,02 March-2026,Lagos
51,Account Personnel at Tizeti Network Limited,02 March-2026,Lagos
52,FTTH Project Site Engineer - Lagos at ZTE Devices,02 March-2026,Lagos
53,Fiber Splicing Engineer at ZTE Devices,02 March-2026,Lagos
54,Account Personnel at Tizeti Network Limited,02 March-2026,Lagos
55,FTTH Project Site Engineer - Lagos at ZTE Devices,02 March-2026,Lagos
56,Fiber Splicing Engineer at ZTE Devices,02 March-2026,Lagos
57,"Associate, Distribution at Stanbic IBTC",02 March-2026,Lagos
58,Audit Officer at Westfield Consulting,02 March-2026,Lagos
59,Associate Medical Laboratory Scientist at Reliance HMO,02 March-2026,Lagos
60,Account Officer at Lightingcrown Global Consulting Services Limited,02 March-2026,Lagos
61,Internal Control / Auditor at Levitikal Group,02 March-2026,Lagos
62,Chemistry Teacher at Wanies Halburt Ltd,02 March-2026,Lagos
63,"Associate, Debt Capital Markets at Stanbic IBTC",02 March-2026,Lagos
